Puan	Yorum
1.0	ürün çok güzel ve kaliteli teþekkürler
0.0	Patlak lastiði yolladýlar
1.0	Iþýk yeterli
1.0	Geç geldi ama ürün beklediðime deðdi. Çok kullanýþlý ve içimi rahat
1.0	Ýthalatçý kutup ayýsý teþekkürler.
1.0	Ürün gayet güzel kargo zamanýnda geldi teþekkürler
1.0	Super kizim bayildi
1.0	Cok güzel
0.0	elime almamla 5 dakka içerisinde sapýnýn kýrýlmasý bir oldu
1.0	Muhteþem hoc soðutmuyor aynen evdeki çay sýcaklýðýnda
1.0	Ürün çok iyi sýcak tutuyor... Binbir.com satýcýsýna teþekkür ederim hem hýzlý hem doðru ürün gönderdi
0.0	Küçük geldi bi buyukunu istedik adam iptal etmis sipariþi bir yildiz bile cok
1.0	Çok saðlam geldi tam istediðimiz gibi teþekkürler
1.0	Top güzel 1 yýldýr kullanýyorum ama topun 2gün içinde havasý iniyor tekrar þiþiriyorum sibobu biraz yamuk yapmýþlar belki oradan biraz hava kaçýrýyor olabilir ama onun dýþýnda süper size gelen top benimki gibi sibobu yapuk olmayabilir top halý saha için ideal paketleme idare eder
1.0	çayý sabah demleyip öðlene kadar sýmsýcak içiyorum.
1.0	Teþekkür ederim kaliteli paketleme ve güzel ürün
0.0	Z bar eþit deðil bu sebeple sakatlýk yaþadým
1.0	Ürün elime ulaþtý kaliteli bi ürün paketlemede harika gönül rahatlýyla alabilirsiniz fakat fermuarý boðazýmý kaparken biraz zorlanýyo fermuarda bi sýkýntý var bilginiz olsun dedim??
0.0	dandik, kopacak gibi
1.0	Ürün gayet güzel kargo ve paketleme çok iyi
1.0	Guzel kullanisli sert plastik kompakt bir ürün
1.0	Ürün gerçekten çok güzel.. çok tereddüt etmiþtim alýrken ama fiyatý na göre iyi geniþliði yüksekliði ve hafif tek eksiði güzel bir taþýma çantasý olmamasý
1.0	Fiyatýna göre güzel ürün alýnabilir. Paketleme ve kargo iyi sýkýntý yok
1.0	Fiyatýna göre gayet iyi.
1.0	Kullanmaya baþladým. Urun özelliklerinde ne Yaziyorsa o. Çok kaliteli çin markalara göre.
1.0	Hýzlý kargo. Çok iyi paketleme ve kesinlikle herhangi bir çizik bile olmamasý en güzeli
0.0	3 saat içinde içine koyduðum çay sýcaklýðýný yitiriyor. 30 liralýk termos da ayný iþi görüyor zaten.
1.0	gönül rahatlýðýyla alýnýr.
1.0	Ýlk defa scooter satýn alan birisi olarak üründen gayet memnun kaldým.Ürünüm gelir gelmez herhangi bi düþme, sürtme durumunda çizilebilecek yerlerini ve ayak basma yerini þeffaf araç kaplama folyosu ile kapladým.Üründen tek sýkýntým mühendislik hatasý olsa gerek katlanan kýsýmda hafif bi boþluk var yüksek hýzlarda tehlike arz edebiliyor.Oraya ufak bi deri pul yaptým þimdi fiþekk gibi oldu.Birde hýz yükseltmesini yaparsam sorun yok??
1.0	Hafif, saðlam ve rahat bir ayakkabý,  bir numara büyük aldým,  çok memnunum..
1.0	2 adet aldým ürünler güzel yalnýz uzun soluklu kullanýmda kapaklarýnýn sýkýlýgý gidermi diye düþünüyorum saðlam duruyor ama ihtimal tabiki
1.0	Pollerine bayýldýðým, satýcý tavsiyesiyle tabanýný Evolite thermic mat ile döþediðim yeni çadýrýmýz. Dikiþler bir týk daha saðlam olabilirmiþ sanki ama genel olarak gayet baþarýlý buldum. Daha önce Husky ve Karrimor çadýrlar kullanmýþtým, henüz kamp atmadýk kendisiyle (özellikle yaðmur ve kar performansýný merak ediyorum) ama sanýrým Evolite de üzmeyecek beni. Kullanýmdan sonra editlemeyi planlýyorum, umarým unutmam.. Satýcý olarak ByDoðadan baþkasýna bakmayýn, ürünle ilgili bir sorun hakkýnda aradým, sorunu halletmekle kalmayýp neredeyse 20dk farklý birçok soruma cevap vererek detaylý açýklamalar yapan Arda bey kesinlikle iþini aþkla ve çok profesyonelce yapýyor.
1.0	Barlar iyi duruyor evde kullanmak için yeterli buluyorum. Aðýrlýklara gelince plakalar biraz hacimsel olarak döküme kýyasla büyük ama evde iþ görür. Tutma telleri tamamiyle plakayý sabitlemiyor ama kullanýrken kaymýyor o yüzden sorun olmayacaktýr.
1.0	F/p olarak güzel bir ürün. Göstergesinde ýþýkta olsaydý çok güzel olurdu geceleri görünmüyor
0.0	Asla almayýn çanta hiç güzel deðil resmen soyuldu 1 ayda para çöp yani güvenilir deðilmiþ pul pul içi derisi döküldü daha okul açýlalý 1 hafta 5 günlük kullaným askýsý söküldü asla ve asla almayýn verdiðim parayý helal etmiyorum yazýklar olsun insanlarý böyle kandýrýyorsunuz yazik
1.0	Baþarýlý ürün
1.0	Kulanýþlý ve fýyat uygun
1.0	Resimdeki gibi. Güzel. Kalýn kýþlýk. Beðendim
0.0	satýcý ürünleri yanlýþ kargoladý baþka bir ürünü hiç alamadým ve eve deðil kargo þubesine kargoluyor
1.0	Hepsi saðlam ve kaliteli geldi ??
1.0	Ýþ görüyor memnunum
1.0	beðendim. tevsiye ederim
1.0	3 yasindaki kizima aldim fiyatina göre iyi
1.0	Çocuðumun ve öðretmeninin isteði üzerine aldým. Güzel olacaðýný tahmin etmiyordum. Umduðumdan güzel çýktý.
1.0	Hadi kas yapalým ??
1.0	Ürün çok güzel geldi. Satýcýya gönderdiði hediye için ayrýca teþekkür ederim.
1.0	Çok güzel kocaman
1.0	Öncelikle kapýya kadar teslim olmasý çok iyi. Kargoyu getiren elemanlarý tebrik ederim, son derece büyük ve aðýr bir kutu, üst kata kadar çýkardýlar saðolsunlar. 
1.0	Harika çok begendim
1.0	Kalitesi tartýþýlmaz bir termos oldukça kaliteli tavsiye ederim
1.0	Kaliteli bur ürün verdiðin paraya deðer çok rahat çok profesyonel ??
1.0	Top o kadar iyi olmasa da pompasý iþ görüyor
1.0	Ürün fiyatýna göre gayet iyi iþ görüyor  sadece ebatlar büyük onun dýþýnda bir sýkýntý yok.
1.0	Çok rahat. Rengi çok güzel. Aþýrý memnun kaldým. Güvenle alabilirsiniz.
0.0	Bisikleti bir kaydirdim bu lastik yýrtýldý arkadaþlar ona göre
1.0	Harika ürün tavsiye ederim
1.0	Rengi cok guzel kullaniþli tavsiye ederim
1.0	Cepleri sabitlenmemesi dýþýnda hiç bir sorun yok çok güzeell
1.0	Ürün gayret iyi geçen sene aldým çok memnun kaldým tekrar farklý renginden istedim
1.0	Hafif kaliteli..beðendim
0.0	Sipariþim cando theraputty yeþil oyun hamuru iken satýcýnýn bana yolladýðý theraflex yeþil oyun hamuru. Tabii daha sert haliyle, tam bir ciddiyetsizlik.
0.0	çok çok kötü. incecik bir þey. belli bir zaman sonra kopuyor.
0.0	Kýþlýk yürüyüþ ayakkabýsý hafif nemili zeminde ayakta duramýyorum sanki buz üstünde yürüyorum
0.0	Flurocarbon deðil sanýrým yaktiginizda kömürleþme olmuyor,yanlýþ ölçü gönderilmiþ birde daha dikkatli olunmali
1.0	O kadar geniþ hacimli ki çok memnun kaldým
0.0	Kötü
1.0	Oðluma yeni yýl hediyesi olarak alýp kaldýrdým ve gerçekten parasýný hakediyor çok kaliteli saðlam geldi kargolamasý da gayet güzel paketlenmiþti
1.0	Kalýtelý bsayýldým
1.0	Kapaðý kapanmýyor içinde ki sývý sürekli dökülüyor asla tavsiye etmiyorum
0.0	Satýcý: Dijital Marketim 'den alýnan ürün logosu - ürün aðýrlýðý kaynaklý sahte olduðu düþüncesi ile iade edildi.
0.0	Vakumlamasý iþ görür ama her türlü buðu yapýyor
1.0	Elime uygun ve gayet þýk bir görüntüsü var öncelikle. Program oluþturduktan sonra neden iþe yaramasýn? Almanýzý tavsiye ederim.
1.0	Bunu çok beðendim. Beklediðim gibi geldi. Baya da büyük
0.0	Bu zamana kadar hepsiburada dan yaptýðým alýþveriþlerin içinde en en en kötüsü sakýn aldanýp bu ürünlerden almayýn ürün %100 çakma orijinallikte hiçbir alakasý yok insanlarý kandýrýyorlar gelin ayakkabýnýn zaten gerçekte müdahali.bile yok . Ve buradan Hepsiburadaya sesleniyorum 
1.0	Çok yumuþak iki tanesini birleþtirip anca kullanabilirsiniz. Baþlangýç seviyesi.
1.0	Saðlam ve kaliteli çok beðendim
1.0	Þu an fiyatýný bilmiyorum ama ben çok uyguna almýþtým. Çok severek kullanýyorum. Teþekkürler.
1.0	Kullanýþlý gayet güzel
1.0	Ürün çok güzel ve kaliteli ??
1.0	2 termos aldým. Ayný litre ayný renk, orijinal. Fakat birisi hatalý çýktý. 2 saat bile dayanmýyor sýcak içecek koyduðumumda soðutuyordu. Fakat diðeri 12-14 saat ayný hemen hemen kaynarlýkta muhafaza edebiliyor. Çok kaliteli. Hatalý olan ürünün dýþýna el temasýnda sýcaklýðýný hissedebiliyorduk. Fakat saðlam olanýn içindeki kaynarlýk dýþ yüzeye yansýmýyordu. Gönül rahatlýðýyla alýþveriþ yapabilirsiniz.
1.0	Cumartesi öðleden sonra verdiðim sipariþ pazartesi sabah elime ulaþtý.
1.0	çok iyi, þýk bir bardak
1.0	Ayakabý cok kâliteli
0.0	Hemen koptu paket lastik daha fazla dayanir
1.0	iyi güzel fp ürünü .resimdeki gibi geldi sorunsuz sýkýntýsýz... tavsiye eder,m
1.0	Güzel tavsiye ederim
1.0	oldukça kaletileli üstüne üslük ucuz almanýzý öneririm
1.0	ürün fiyatýna göre gayet kaliteli ürünün sayacýnda sorun görenler yanlýþ kullandýklarý için doðru saymýyor sayaç sað elinizde olsun doðru sayar sol elinizde iken geriye doðru saydýðý için saçmalýyor
1.0	Ürün çok güzel ve kumaþý çok kaliteli
1.0	iyi ürün
1.0	gayet kaliteli ve fp ürünü özellikle indirimde yakalarsanýz þimdiden yaza hazýrlýk yapacaðýnýz bir ürün tavsiye ederim
1.0	Bedenimi aldým uygundu.Kýsa deðil bu güzel bence sadece bel oyuntusu yapmamýþlar ama çok rahat ve kullanýþlý güzel sýcakta tutuyor bir mont olamaz ama orta soðuk havalarda ýsýtýr
1.0	Hýzlý ve güvenli bir þekilde elime ulaþtý.
1.0	Yýllardýr el yayý kullanýrým.Bundan önce yine Hepsiburadadan aldýðým el yayý yaklaþýk 2,5 yýl dayandý.Sürekli kullanýlýnca kýrýlmasý kaçýnýlmaz.Bu kez Deltayý deniyorum.Süngeri kalitesi iyi,ele gayet güzel oturuyor.Kaliteli ürün umarým uzun süre kullanabilirim.Tavsiye edilir.
1.0	Ýþinizi fazlasi ile görür
1.0	Henüz kullanmadým ama çok yakýn zamanda 15+ saatlik bir yolculukla deneyeceðim. Daha önceden da benzer bir ürün kullanmýþtým ve faydalý bulmuþtum. Bu arada satýcýya da minik hediyeleri için çok teþekkür ederim.
1.0	Ürün kalitesi çok güzek, satýcý hýzlý kargoladý. Normalde s beden giyen birine (155cm 48Kg) büyük oldu, iade etmek zorunda kaldýk.
1.0	Kalitesi iyi ama demirlerinde çizikler vardý fiyatý uygun olduðu için iade etmedim ojeyle bi þekilde kapatýrým diye düþünüyorum
0.0	L beden istedim.M beden geldi.
0.0	Ürün polyester viskon ve elastan kumaþ olarak üretilmiþ nasýl teri emip dýþarý atacak bilmiyorum bu kumaþ türü deniyeceðim
1.0	Ürün gerçekten çok rahat. Bir numara büyüðünü aldým biraz bol geldi. Tam numaranýzý alýn. Puma efsanesin.
1.0	Orijinalliðinden hala emin olamadým Ama ayakta çok rahat çok güzel duran bir model 36.5 Numara aldým 36 yoktu çok hafif bolluk var ama rahatsýz etmiyor
1.0	ürünün ana ýþýldak kýsmýnda sorun yok. çizgi olmasý gereken alt ýþýk yerinde noktalar oluþuyor. yinede alýþveriþten memnunum
1.0	Çok þýk gören herkes beðeniyor. Yerli Üretim olmasýda ayrý güzel. Fiyat kalite oraný çok iyi rahat ve kaliteli. Ýndirimdeyken almýþtým. Puaným 10 üzerinden kesinlikle 9 olur.
1.0	Çok hafif
1.0	Bekkediðim gibi. Çok beðendim. Küçük hediye için teþekkürler.
1.0	Müthiþ gerçekten paranýn hakkýný veriyor
1.0	Fiyat performans ??
1.0	Ürün çok iyi ve çok uygun fiyata aldým
1.0	Fiyata göre gayet kullanýþlý
0.0	Bedenime gore aldim sikinti yok ama kollari cok asiri dar alan kisiler beden buyuk olarak alin ve cep altinda birinde dikis var digerinde yok
1.0	Ürün fiyatýna göre çok iyi. Kaliteli. Çýngýraklý bir zil aradým ama doðru düzgün bulamadým. Bunun sesi
1.0	Yeni taktým duy a þimdilik iyi görünüyor bakalým ne kadar süre kullanabileceðim
1.0	Çocuðuma öðle yemeði için almýþtým sýcak yemeði sabah koyuyorum öðleye kadar soðutmuyor sýzdýrma yapmýyor...
0.0	Ürün orjinal deðil
1.0	Ürün eksiksiz, teþekkürler
0.0	Ürün bir yýkamada çekti. Þu an gelmiyor. Tavsiye etmiyorum.
1.0	Gayet güzel tatilde oynamak için aldýk sorunu yok
1.0	Fiyata göre iyi.
1.0	2 beden büyük alýn
1.0	Kurulumu basit , saglamlik olarak biraz daha kalin olabolirdi , ayaklarin altinda kece olmamasi parke tabanlar icin dezavantaj...
0.0	Ürünü bugün aldým pembe  olaný çalýþýrken ortadan ikiye ayrýldý 1 günde koptu tavsiye etmiyorum
1.0	Çok güzel tam istediðim gibi fiyat performans ürünü tavsiye ederim ayrýca hediye bere için teþekkür ederim
1.0	Stanley kalitesi. Hýzlý kargo
1.0	Çok kaliteli.
1.0	Baský güzel fakat çok ince kenarlarý da dikiþli deðil sanki zamanla kolay deforme olur gibi görünüyor.
1.0	Beklediðimden iyi çýktý,  7 saate kadar deneyebildim olmasý gerektiði gibi soðuk tutuyor . Piknikler için ideal, fiyat olarak da uygun
1.0	saðlam kaliteli
1.0	Hediye olarak aldým. Kaliteli duruyor. Paketlemesi güzeldi. Top þiþirilmiþ bir þekilde gelmiþti þaþýrdým :)
0.0	Z barý için atýn aldým. Gerçekten baya kötü. Normalde insanlarýn emeði var diyip kötü deðerlendirme yapmam ama ürün hiç kullanýþlý deðil. Elbise askýsýnýn içine beton doldurun ayný performansý alýrsýnýz. Yani neresinden tutsan kalitesizlik akýyor. Aðýrlýklar barlara zor giriyor. Z bar çok ciddi kalitesiz. Zaten aðýrlýðý tutan yerleri anýnda yamuldu.
1.0	Daha giymedigimiz için birsey diyemiyorumgörünüm iyi diyorum ici miflonlu sýcak tutar
1.0	Hiçbir sýkýntýsý yok, harika..
1.0	Daha önce aldým iade ettim. Bir numara küçüðünü aldým. Bir numara küçük almanýzý tavsiye ederim. Çok rahat ve çok güzel bir ürün. Basýnca kendi aðýrlýðýný hissetmiyor insan. Bayýldým. Bir numara.
0.0	Uygun fiyata aldim. Görünüþü harika, büyük terasta kullanýma uygun fakat bugun ilk denemede farketik ki tabanla bogum kýsmý birleþim yerinde 4 cm kadar yýrtýk vardi. Ürünler kontrol edilmemiþ belli ki yamayla oynardýk ama yamamýz boþa harcandý
1.0	Mükkk
1.0	Güzel sadece boyutu biraz büyük
1.0	Ürün kesinlikle çok kullanýþlý ve kaliteli. Kampta piknikte tüm mutfaðý yanýnda taþýmak gibi :)
1.0	Paletleme özenli ve güzel
1.0	Fiyatýna göre kaliteli ürün eþim komando  daðda km lerce yol yürüyor memnunuz
1.0	Ürün güzel kýzýma almýþtýk beðendi bu fiyata alinabilir
1.0	Parasýný hak eden kaliteli ürün.
1.0	1275 tl için çok iyi, buçuklu numaralar büyük numarayý tercih edebilirsiniz, hýzlý kargo
1.0	Fiyatýna göre çok uygun bir ürün. Elbette çok basit ve güvensiz duruyor ama iþinizi görüyor. Aþýrý para ödemeye gerek yok bence.
1.0	Çok hýzlý bir þekilde elime ulaþtý. Gayet güzel ve makul fiyatlý bir ürün.
1.0	3 rengini aldýðým bir ayakkabi rahat gün lük kullanimda özellikle fiyatida iyi
1.0	Gayet güzel þýk bir ürün
1.0	Orjinal ürün, hýzlý teslimat, teþekkürler..
1.0	Sorunsuz þekilde geldi orijinal ürün
1.0	Fiyatýna göre uygun ve kaliteli. Yalnýz çocuðunuza alýyorsanýz eliyle rahat kontrol edebileceði numaralý topu seçmeye özen gösterin
0.0	Dandik bir ürün. Kalem ucu paketi açar açmaz kýrýldý. Orayý japonla yapýþtýrdýk bu yüzden kalem iþlevini yitirdi. Sadece sunum çubuðu olarak kullanabileceðim
1.0	2 adet sýrt çantasý aldým muhteþem ler çok iþimi gördüler almanýzý tavsiye ederim
1.0	BAGzy firmaya çok teþekkür ederim. Ürün 2 gün içinde elime ulaþtý. ÇÇS markanýn ürünleri güzel. Daha önce de kullanmýþtým. Bu ürün de oldukça kaliteli. Kumaþý saðlam. Tekerlek aksamý saðlam. Extra fermuar sistemi var.
0.0	Ayaklar terliyor ve dikiþler saðlam deðil
1.0	kaliteli malzeme ve deseni çok iyi. Alýrken el ölçünüzün bir beden üstünü almanýzý öneririm. Hýzlý vede güvenli alýþveriþ için teþekkürler...
1.0	Çok beðenerek kullanýyorum.
1.0	Ürün diðer kamp masalarýna göre görünüþü biraz daha kaba ama saðlamlýk açýsýndan bir sorunu yok.. Çok hafif deðil, uzun süreli elde taþýmada yorabilir.. Tahmininden daha büyük çýktý, küçük bagajý olanlar bir daha düþünebilir...
1.0	Hýzlý teslimat için teþekkürler. Hemen denedim beþ saat sonra su hâlâ elimi yakacak derecede sýcaktý. Kalite tartýþýlmaz.
1.0	Süper ideal  sýcak  yemek   seven icin benim güzel  tavsiye ederim
1.0	Sýzdýrmaz ve kilit özelliði en çok istediðim özelliklerin baþýnda geliyordu. Ömür boyu garantinin olmasý ise bir baþka güzellik.
1.0	Kullanýþlý.
1.0	hýzlý ve kaliteli teþekkür ederim...
1.0	Ayaðýmý güzelce sardý ama hala alýþma sürecinde olduðum için baðzý hareketlerde ayaðým aksýyor sanki ayaðýmda yokmuþ gibi topa vurduðumda baský yokmuþ gibi daha sadece 3 maç oynadým ve söyleye bileceklerim bu kadar
1.0	Pompa farklý ama daha kaliteli geldi.Topta kaliteli geldi.
1.0	Süper Beðendim,Teþekkür ederim
0.0	Üstündeki tutulan yer parça parça dökülüyor, yayý bir arada tutan demir parçasý sýkýþýyor. Fiyat yönünden alýnabilir.
1.0	Ýyi ve kaliteli bir ürün..
1.0	Uygun fiyata denk getirince hemen aldýk kalite zaten belli
1.0	Hýzlý teslimat
1.0	Güzel bir ürün oturaðý hariç uzun mesafelerde rahatsýz ediyor
1.0	Akþam yeni kaynamýþ suyu termosa koydum ve sabah uyandýðýmda ýlýk olmuþtu, yani bayaðý sýcak tutuyor, bir kaç saat soðuk ta tutuyor. Ýçi çelik. Resimdeki haki renk. Çin'den gönderiyor, Ýstanbul'dayým iki haftada elime ulaþtý.
1.0	Yaklaþýk 1 aydýr kullanýyorum gayet kullanýþlý ve saðlam
1.0	Güzel bir numara büyük alýn
0.0	Ürünün rengi soluk geliyo ayrýca fotoðrafla ayný deyil çok ince kiminin hoþuna gidebilir ama benim hiç hoþuma gitmedi açýkçasý almadan önce bidaha düþünün derim
1.0	Süper ötesi
1.0	Sürekli aldýðým bir marka/ürün. Gayet memnunum. Fiyat/performans ürünü. Ürün ve fermuar rengi harika. Boyum 1,83 cm, kilom 96. XL tam olurmuþ ama ne yazýk ki XXL göndermiþler. Biraz bol oldu. Ziyâný yok.
1.0	Guzel ya fena deil begendim , Fiyat performans
1.0	Pilli olmasý dýþýnda sorun yok güzel ürün
1.0	tavsiye ediyorum fiyat performans ürünüdür.
1.0	Bü ürün bana zamanýnda ve hýzlý ulaþtý sorunsuz yaþadýðým bu aleþveriþte sorumlu olan herkese teþekkürler.
1.0	Stanley üst kalite
0.0	Adidas markasýna güvenerek aldým fakat rahatlýk konusunda çakma ayakkabýlardan bir farký yok.
1.0	Beklentimin üzerinde gayet saglam kullanýþlý hiç tereddütsüz alýn on numara
1.0	Ürünü gerçekten çok severek kullanýyoruz 48 saat sýcak tutuyor mu diye test ettik gerçekten hala sýcak olduðunu gördük gönülden tavsiye ederim
1.0	Boyutu çok iyi tahminimden büyük geldi
1.0	Alet güzel baþarýlý cok hafif elden kaymýyor cok kaliteli degil ama levye taþýmaktan iyidir ??
1.0	Çok güzel tavsiye ederim. 39 numara giyiyor oðlum 40 numara ayaðýna çok rahat oldu
1.0	kýz arkadaþýma hediye aldým çok beðendi çok þirin
1.0	Güzel ürün iyi sýcak tutuyor
1.0	Fiyatýna göre tercih edilebilir
1.0	Pumayý anlatmama gerek yok çok gzel þýk bir ayakkabý
1.0	Ýkinci el. Geldi yanlarý bir yere vurulmuþ paketleme yapýlmamýþ
1.0	Ayakkabý koyma yeri var. Tabaný sert deðil ama gayet þahane. Fermuarý problem çýkartmayacaða benziyor.
1.0	Paketleme abartýlý saðlamdý, göndericiye teþekkür, Stanley kalitesi belli zaten...
1.0	Umduðum sýcak tutma performansýný bulamadým.
1.0	Kullanýþlý bir ürün
1.0	Güzel ürün evinde kala uyduðumuz için daha denemedik satýcý çooooook hýzlý
0.0	Bir boy büyük olsaymis daha iyiymiþ
1.0	Kaliteli ve Saðlam geldi ellerinize saðlýk
1.0	Ýndirimdeyken aldým iyi ki almýþýz boyut olarak ideal geniþ bankonunuz varsa rahatlýkla kullanýlabilir. Ýçinden ufak bir tamir kiti de çýkmasý iyi oldu þimdiden ufak bir delik oluþtu hemen tamir ettik
1.0	Çok rahat ve kaliteli bir bot, açýklamalarýnda yazdýðý gibi ben çok memnun kaldým.
1.0	küçük ebatlý, ancak çok kullanýþlý.
1.0	Kaliteli ve kullanýþlý bir ürün.
1.0	Görseldeki gibi. Katlanýr olmasý güzel, saðlam görünüyor.
0.0	Ucuz iþ
1.0	Stanley markasýndan ötürü yorumlarý okumadan bu termosu sipariþ etmiþtim. Yorumlara baktýðýmda plastik kokusu olduðu söylendi ve çok üzüldüm. Ürün geldi kullanmadan önce makinede yýkadým ve þu an sýcaðý sýcaðýna yazýyorum hiç bir koku yok. Sýcak tutma performansýný henüz deneyimleyemedim. Onu da editlerim zamanla. Alacaklar koku yorumlarý yüzünden bence vazgeçmesin.
1.0	Çok rahat
1.0	Ürünü beðendim kaliteli ve güzel ayrýca satýcýya teþekkür ederim hediye þapka göndermiþ tavsiye ederim.
1.0	Bu paraya alýnabilecek en iyilerden
1.0	Kaliteli ürün, düzenli kullanýldýðýnda yararýný görüyorsunuz. Sevdim ben.
1.0	Güzel çanta.
1.0	1 yýldýzý geç gelmesinden kýrdým.basta tereddüt ettim ama gerçekten görüldüðü gibi geldi.gonul rahatlýðýyla alabilirsiniz
1.0	kaliteli ðrün yerli malý ,tavsiye edilir
1.0	Ürün muhteþem herkeze tavsiye ederim kargo çok hýzlý hediyeniz için teþekkürler
0.0	2 adet satýn aldým paketten 1 adet çýktý.
1.0	Ürün orjinal Nurgaz. Güzelce paketlenmiþ, hýzlý geldi.
1.0	Ürün beklediðim hibiydi
0.0	ÝSTEDÝGÝM NUMARA GÖNDERÝLMEDÝ ELLERÝNDE YOKMUS ELLERÝNDE OLMAMASÝNA RAHMEN BUYUK BOY YOLLADÝLAR SACMA AYAKKABÝ COK GUZEL AMA SATÝCÝ ÝLGÝLÝ DEGÝL
1.0	Ayakkabinin kulak kismini begenmedim  . Ýnun dýþýnda oldukça rahat. Ýc tabaný yastýklý. Günlük kullanabileceðiniz ayakkabý. Bir beden büyük alabilirsiniz . gerçi Spor ayakkabý olunca 1 numara büyük alýnýyor
0.0	Ürün çizik geldi iyade etmek istedim yade faturasý kemem lazýmmýþ bir sürü iþlem vesayre.
1.0	Ürün oldukça kullanýþlý .
1.0	Ürün elimize çok çabuk ulaþtý. Paketleme özenliydi. Satýcý firmaya çok teþekkürler
0.0	Hiç beðenmedim montla alakasý yok astarsýz bir eþofman üstü gibi baþka sitede bunun gibi daha ucuza var
0.0	Yazýlanlarýn , yorumcularýn hepsi abartý. Büyük beklentileriniz olmasýn. Hafif bir titreþim var. 40-50 tl lik bir pazar masaj aleti alýn bastýrýn yada ayda bir medical masaj alýn. Hoþçakalýn. Teþekkürler kilitlemeniz için ??
0.0	akýtýyor. marketten 500lük þiþe su alýn dondurun daha iyi.
1.0	TABAN RAHATLIGI, RENK UYUMU , KALÝTE OLARAK ÇOK GÜZEL. ÜSTELÝK HAFÝF.
1.0	Ürün çok güzel spor çantasý olarak çok kullanýþlý
1.0	özellikle 5 yýldýz verdim yayýnlansýn diye neden yanlýþ ürün gönderiyorsunuz bu ne saçmalýk ya çocuðum günlerdir bu kranponun hayalini kuruyor hem çok geç elimize ulaþtý hemde yanlýþ ne ayýp ya hiç memnun kalmadým bu alýþveriþimden hiç
1.0	Çanta çok büyük herkesin iþine yarayacak kadar geniþ satýcý da çok iyi tavsiye ederim.Ben 2 adet aldim
1.0	Fiyatýna göre çok güzel rengide çok hoþuma gitti
